date,ticker,open,high,low,close,volume,price_adjusted
2016-01-04,^MXX,42963.8984375,42963.8984375,41897.48046875,42113.69921875,122098600,42113.69921875
2016-01-05,^MXX,42118.6015625,42346.140625,41859.26953125,42041.6796875,186120200,42041.6796875
2016-01-06,^MXX,42039.23046875,42039.23046875,41627.98046875,41691.19140625,185518000,41691.19140625
2016-01-07,^MXX,41688.75,41688.75,40611.30078125,40661.5703125,263904200,40661.5703125
2016-01-08,^MXX,40661.80859375,41242.55859375,40154.94140625,40265.37109375,373461300,40265.37109375
2016-01-11,^MXX,40254.5,40749.6796875,40128.46875,40706.890625,220635600,40706.890625
2016-01-12,^MXX,40717.98828125,41070.9296875,40717.98828125,41022.73828125,217279500,41022.73828125
2016-01-13,^MXX,41026.55078125,41270.94140625,40463.640625,41008.78125,207644900,41008.78125
2016-01-14,^MXX,41026.55078125,41385.53125,40731.80078125,41352.75,162045600,41352.75
2016-01-15,^MXX,41350.30078125,41350.30078125,40298.01953125,40847.69921875,258729300,40847.69921875
2016-01-18,^MXX,40842.8203125,40854.640625,40440.359375,40604.7890625,36417700,40604.7890625
2016-01-19,^MXX,40611.8515625,41136.48828125,40494.05859375,40809.25,220643500,40809.25
2016-01-20,^MXX,40807.21875,40845.03125,39924.08984375,40844.41015625,239363100,40844.41015625
2016-01-21,^MXX,40833.26953125,41339.48828125,40557.328125,41166.87890625,252258400,41166.87890625
2016-01-22,^MXX,41207.98046875,41744.421875,41207.98046875,41621.30859375,252181900,41621.30859375
2016-01-25,^MXX,41623.23046875,41678.3515625,41344.25,41476.3515625,142720900,41476.3515625
2016-01-26,^MXX,41474.44921875,42037.55859375,41451.19921875,41932.390625,189517800,41932.390625
2016-01-27,^MXX,41923.4296875,42394.08984375,41823.87890625,42109.890625,356684100,42109.890625
2016-01-28,^MXX,42101.078125,42445.44921875,42055.26953125,42393.01953125,247397500,42393.01953125
2016-01-29,^MXX,42386.23046875,43631.1796875,42370.98046875,43630.76953125,376037300,43630.76953125
2016-02-02,^MXX,43639.921875,43639.921875,42884.51171875,43092.48828125,341856100,43092.48828125
2016-02-03,^MXX,43120.671875,43306.37890625,42916.01171875,43257.5390625,264681900,43257.5390625
2016-02-04,^MXX,43255.1015625,44260.23046875,43255.1015625,43751.9296875,359740800,43751.9296875
2016-02-05,^MXX,43759,43833.76171875,43215.96875,43229.671875,221241100,43229.671875
2016-02-08,^MXX,43229.7890625,43229.7890625,42546.62890625,42774.8515625,201984900,42774.8515625
2016-02-09,^MXX,42775.69140625,42887.390625,42192.7890625,42399.19140625,325409400,42399.19140625
2016-02-10,^MXX,42401.91015625,42936.859375,42268.859375,42535.73828125,243093300,42535.73828125
2016-02-11,^MXX,42540.4609375,42540.4609375,41757.3984375,42359.26171875,221208600,42359.26171875
2016-02-12,^MXX,42351.12109375,42635.6484375,42275.7890625,42416.44140625,186017400,42416.44140625
2016-02-15,^MXX,42414.80859375,43223.9609375,42414.80859375,43205.91015625,59431500,43205.91015625
2016-02-16,^MXX,43205.4296875,43352.37890625,42847.5,43100.3203125,181206800,43100.3203125
2016-02-17,^MXX,43103.30859375,43585.30859375,43019.6484375,43585.23046875,408303000,43585.23046875
2016-02-18,^MXX,43561.05859375,43731.671875,43278.80078125,43516.66015625,280000800,43516.66015625
2016-02-19,^MXX,43517.16015625,43618.6015625,43219.328125,43375.30859375,176837500,43375.30859375
2016-02-22,^MXX,43379.171875,43882.23046875,43379.171875,43546.71875,252292800,43546.71875
2016-02-23,^MXX,43550.7890625,43672.96875,43143.58984375,43216.578125,180166200,43216.578125
2016-02-24,^MXX,43221.05859375,43234.37109375,42364.890625,42744.91015625,119479000,42744.91015625
2016-02-25,^MXX,43177.53125,43445.1484375,42938.98828125,43434.55078125,169139700,43434.55078125
2016-02-26,^MXX,43449.91015625,43611.69921875,43239.3984375,43473.37109375,109647900,43473.37109375
2016-02-29,^MXX,43475,43723.859375,43326.94140625,43714.9296875,329045100,43714.9296875
2016-03-01,^MXX,43717.6484375,44280.1796875,43715.98828125,44214.5,278917500,44214.5
2016-03-02,^MXX,44198.390625,44739.01171875,44165.6015625,44615.75,276951200,44615.75
2016-03-03,^MXX,44616.4609375,44869.96875,44561.0390625,44742.21875,220570800,44742.21875
2016-03-04,^MXX,44740.53125,45255.921875,44740.53125,44849.01953125,277745000,44849.01953125
2016-03-07,^MXX,44855.25,45146.328125,44850.96875,44967.16015625,231035400,44967.16015625
2016-03-08,^MXX,44967.21875,45017.62890625,44335.390625,44504.2890625,255965700,44504.2890625
2016-03-09,^MXX,44507.48828125,44668.3984375,44189.55859375,44492.5,250427200,44492.5
2016-03-10,^MXX,44499.48828125,44779.08984375,43965.23046875,44337.0390625,200516900,44337.0390625
2016-03-11,^MXX,44338.94140625,45007.26953125,44338.94140625,44617.73828125,157398300,44617.73828125
2016-03-14,^MXX,44746.328125,44873.25,44548.55078125,44691.80078125,183846000,44691.80078125
2016-03-15,^MXX,44691.01171875,44694.30859375,44139.5390625,44210.44140625,194115100,44210.44140625
2016-03-16,^MXX,44207.5390625,44751.62109375,44026.1796875,44751.3984375,223581100,44751.3984375
2016-03-17,^MXX,44751.3984375,45507.87109375,44644.33984375,45435.08984375,336601600,45435.08984375
2016-03-18,^MXX,45436.1796875,46129.66015625,45203.171875,45482.390625,616315100,45482.390625
2016-03-22,^MXX,45464.53125,45632.28125,45308.30078125,45632.28125,208791200,45632.28125
2016-03-23,^MXX,45632.62890625,45713.75,45365.5390625,45647.5703125,199402700,45647.5703125
2016-03-28,^MXX,45652.44140625,45847.26171875,45458.58984375,45623.48046875,160121800,45623.48046875
2016-03-29,^MXX,45623.2109375,45910.80859375,45456.140625,45897.6484375,247041200,45897.6484375
2016-03-30,^MXX,45894.3984375,46307.609375,45808.55078125,46191.51171875,274078600,46191.51171875
2016-03-31,^MXX,46188.1015625,46276.98828125,45663.62890625,45881.078125,289894600,45881.078125
2016-04-01,^MXX,45877.390625,46068.30859375,45509.08984375,46062.921875,152704400,46062.921875
2016-04-04,^MXX,46067.25,46077.1015625,45454.1015625,45678.1796875,158253200,45678.1796875
2016-04-05,^MXX,45678.33984375,45678.33984375,45183.7109375,45186.01171875,173672700,45186.01171875
2016-04-06,^MXX,45183.30078125,45370.7890625,45023.51171875,45281.96875,180774900,45281.96875
